44701095	feedback	like	would	4	4	3	3	1	1	I would specifically like feedback on the lead and grammar .															
34623407	pair	like	would	10	10	7	7	6	6	I recently expanded this article and would like an extra pair of eyes to catch mistakes I probably missed .															
34647956	decision	like	would	15	15	13	13	11	11	I regard such behaviour by Slrubenstein as absolutely abhorrent , and would now like a decision via arbitration to prevent any further such incidence of it .															
75097451	drop	like	would	7	7	4	4	3	3	Yes , we would like a new drop , mainly because the old one is so low we are in danger of striking the wires .															
73731688	opponent	like	would	25	25	23	23	22	22	Tsuji ' s representatives told Hook N Shoot promoter Jeff Osborne that they `` want to fight in the US , but would like another opponent .															
17325962	response	like	would	14	14	12	12	11	11	I feel like my complaints are not being read I really would like a response .															
34793913	feedback	like	would	15	15	14	14	13	13	I ' ve also requested a CCI -LRB- not opening it directly , would like feedback -RRB- .															
44716925	bias	like	would	13	13	2	2	1	1	I would like the article to reflect the source material accurately and any bias in the sources to be transparent to readers .															
2054165	explanation	like	would	6	6	4	4	3	3	AND , I would like an explanation of what rule , exactly , I violated since returning to editing .															
44650336	opinion	like	would	18	18	15	15	14	14	I think the comment content might not conform to BLP rules , but I would like a second opinion on that .															
17892066	opinion	like	would	7	7	5	5	4	4	If possible , I would like an opinion on the article from someone who has no or little interest in the topic .															
74320475	solution	like	would	8	8	5	5	4	4	This is why I would like an equity-based solution , where I can contribute my management skills and the programmer can contribute his coding skills on a percentage-of-the-project basis .															
44714911	feedback	like	would	3	3	2	2	1	1	I would like feedback on my edits , work , articles , submissions , etc , not my disputes .															
44714022	review	like	would	5	5	2	2	1	1	I would like a final review before submission as Good Article .															
12651421	feedback	like	would	10	10	8	8	7	7	I just made this page live and would like your feedback .															
44712565	clarification	like	would	5	5	3	3	1	1	I would just like some clarification .															
71138030	comment	like	would	18	18	17	17	16	16	USA PATRIOT Act , Title IIII have finished documenting what the Act actually says , but would like comment on what else needs to be done .															
12735469	opinion	like	would	14	14	11	11	10	10	If you have made significant changes to an article and would like an outside opinion on a new rating for it , please feel free to request an assessment on the projects talk page .															
44716768	criterion	like	would	5	5	2	2	1	1	I would like such a criterion .															
71054792	tea	like	would	11	11	9	9	8	8	When asked by the station master if he would like some tea , as all of the horses are out and he will be required to wait for some time until new horses can be prepared , the narrator accepts and stays a while .															
30189602	move	like	would	10	10	8	8	7	7	For the record , yes , I would like a move towards the German system but I do realize that we are not there yet and that in the meantime we still have to promote new bureaucrats .															
44712563	advice	like	would	7	7	3	3	1	1	I would just like some assistance and advice on the situation , how to handle the mediation process , how to resolve this so that I am not labelled a vandal or an uncivil user , and to return to my previous standing in the Wikipedia community .															
36604517	help	like	would	23	23	21	21	20	20	His edit summaries and talk page comments make it clear that he wishes to leave the project but that he would like some help in doing so .															
23426834	opinion	like	would	22	22	20	20	19	19	Both side seem happy -LSB- 1 -RSB- , and removed the neutrality tag -LSB- 2 -RSB- , but I would like an opinion of someone who was not involved in the log-term edit warring .															
12853605	feedback	like	would	17	17	14	14	13	13	I have no real idea as to why its being rejected , and would like some constructive feedback as to what I am doing wrong .															
34985566	feedback	like	would	10	10	9	9	8	8	LouisianaI have just made this portal today and would like feedback on how I can improve it .															
71124145	review	like	would	12	12	10	10	9	9	Users whose on-wiki unblock request has been denied and would like further review .															
71170693	facebook	like	would	5	5	4	4	2	2	Usually we would not like facebook as a source .															
52353065	input	like	would	39	39	38	38	36	36	One other thing that I did not do is the `` Storyline '' section , it ' s really hard to slim it down any further , because almost all the information is necessary , I would really like input on this .															
44714490	account	like	would	5	5	2	2	1	1	I would like a Questia account if one becomes available .															
44719403	taste	like	would	12	12	10	10	9	9	I would like to become an Administrator later and would like a taste of the RFA process .															
44715802	code	like	would	4	4	2	2	1	1	I would like my code only , you do not have to post the Haunted Games wikipedia information back up - I would only like my code because I spent a few hours writing it .															
44825581	feedback	like	would	7	7	6	6	5	5	I wrote an article and would like feedback from an editor before going live .															
43480524	input	like	would	18	18	17	17	16	16	Please let me know if this is satisfactory , it probably could be improved but I would like input on what to do .															
44715942	someone	like	would	24	24	23	23	22	22	I would like not to have offensive or insulting answers to my questions , because even if it sounds ridiculous , i would like someone who knows exactly what he or she is writing , to give instructions on how to do it because it interests me .															
44410960	feedback	like	would	22	22	21	21	20	20	I ' ve listed this article for peer review because I ' d like to bring it to FA and would like feedback , mostly on prose , before going there -LRB- and while my current FA dawdles -RRB- .															
53198206	map	like	would	5	5	3	3	2	2	Route 322I would like a map for US 322 .															
44716922	article	like	would	4	4	2	2	1	1	I would like the article to more accurately reflect the data while recognizing the serious problem that suppression of negative data has on our understanding of how best and when to use medications .															
44715335	input	like	would	3	3	2	2	1	1	I would like input on that before I go to the AFD stage .															
49696782	poo	like	would	11	11	9	9	7	7	Once in the show she says `` would you like a poo with that !															
9903824	advice	like	would	7	7	6	6	5	5	Featured List status , and would like advice on how to improve it with this in mind .															
44714545	review	like	would	4	4	2	2	1	1	I would like a review of the deletion of the Australian Koolie page .															
44714072	list	like	would	4	4	2	2	1	1	I would like a list of the references of which this dispute is centered upon .															
20185066	feedback	like	would	7	7	6	6	5	5	Discuss , do not voteI would like feedback on whether the currently proposed wording of this guideline is an accurate description of the status quo in Wikipedia .															
44715934	nothing	like	would	3	3	2	2	1	1	I would like nothing more than to avoid this user , but it is after all a publicly accessible website where users must interact with limited expectations of privacy .															
17736826	rationale	like	would	23	23	19	19	18	18	I also challenged the validity of the salacious picture he is inserting in multiple topics on Wikipedia and would like a fair use rationale on it reviewed again .															
12735473	opinion	like	would	14	14	11	11	10	10	If you have made significant changes to an article and would like an outside opinion on a new rating for it -LRB- Stub , Start , C-class , B-class , or A-class -RRB- , please list it below .															
17752890	translation	like	would	17	17	15	15	13	13	I am appreciative of the information provided above by so many , I would still like a translation if that is possible .															
44413322	feedback	like	would	22	22	20	20	19	19	I ' ve listed this article for peer review because I was a little disappointed with its GAC and would like more feedback before submitting it to FAC .															
12606521	input	like	would	12	12	8	8	7	7	I know the requested move process but would like some general language input before considering whether to go further when so many articles are involved .															
44413554	input	like	would	24	24	22	22	21	21	I ' ve listed this article for peer review because I would like to get it to a GA status and would like some input on it beforehand .															
43454281	communication	like	would	21	21	20	20	19	19	I object to the deletion of this article and I am unclear of the issue with this article and would like communication in order to edit the article to resolve this issue .															
12836889	link	like	would	27	27	16	16	15	15	I have never participated in wiki IRC before , but before Wikipedia combusts , I would like a list of relevant IRC channels , '' ' direct link only '' ' that would be accessible via a single click from my browser without having to circumvent its settings to access .															
44716449	input	like	would	4	4	2	2	1	1	I would like some input from non-stakeholders whether this article is a content fork or not , and if not then why .															
17763254	note	like	would	4	4	3	3	2	2	I also would like note , that the first diff that was provided is clear vandalism .															
69135012	support	liked	would	41	41	39	39	37	37	There is evidently a good deal of enthusiasm in the academic community at the moment for using Wikipedia ; it ' s apparent that we do not have enough volunteers to support nearly as many classes as would have liked ambassador support .															
18427873	help	like	would	31	31	28	28	27	27	April 2006 -LRB- UTC -RRB- I would like to throw in my vote too , as I currently have this as a featured article candidate , and would like all the help I can to make sure it goes through .															
6816634	explanation	like	would	9	9	7	7	6	6	Also , I think that I would like more explanation about the game .															
44413457	advice	like	would	15	15	13	13	12	12	I ' ve listed this article for peer review because , I would like some advice on how to make it worthy of a FA nomination , and is already a GA .															
44719033	consensus	like	would	14	14	9	9	7	7	I would like to assume that TenPoundHammer would just like a more decisive community consensus on the issue -LRB- and the previous AfD is visible enough on this page -RRB- .															
17229947	opinion	like	would	16	16	13	13	12	12	I ' d like to prune it to the essentials , but would like some outside opinion on that .															
17892065	email	like	would	6	6	4	4	3	3	If possible I would like an email of the text of this article for use in a biography .															
45417493	discussion	like	would	12	12	10	10	9	9	My first time having to do this but I would like a discussion on the uncivil behavior of Editor Niteshift36 .															
17892084	information	like	would	7	7	4	4	3	3	If possible I would like the user information for Avatera as his statement is false and I plan to pursue a defamation suit .															
16990799	admin	like	would	13	13	11	11	10	10	I am not familiar with the case , so I would like another admin , who is familiar with it to have a look .															
45678407	hand	like	would	12	12	9	9	8	8	Please take your time , and if you would like a helping hand with these chores please let me know , though I will be a bit busy during the next 48 hours .															
77344929	help	like	would	5	5	3	3	2	2	WikiProject Spam would like your help in discovering who these guys are on Wikipedia and what they want to spam .															
45458982	reading	like	would	16	16	14	14	13	13	My editing has been focused on putting right the inaccuracies , as I would like anyone reading this article to receive the right facts and overall representation of this novel .															
11446849	sanction	like	would	11	11	8	8	7	7	As far as Hipocrtie goes , I would like a reciprocal sanction , with Hipocrite staying away from me permanently .															
34619421	sort	like	would	5	5	3	3	2	2	I really would like some sort of RS check for this as it seems to be completely biased and seems to hold POV pro-Chile .															
2054164	apology	like	would	5	5	3	3	2	2	And I would like an apology .															
64859103	help	like	would	5	5	4	4	3	3	Thus , I would like help in copy-editing the entire article .															
45750800	request	like	would	16	16	14	14	13	13	Previous to the show , they stand at reception asking visitors if they would like a request on the show .															
44411711	feedback	like	would	23	23	21	21	20	20	I ' ve listed this article for peer review because I ' m thinking of taking it to FA and would like some feedback .															
3195010	summary	like	would	7	7	5	5	4	4	I second Adam and would like a summary of your argumetn as I ' m a little unsure what your arguing .															
44716345	feedback	like	would	4	4	2	2	1	1	I would like some feedback on the list .															
44716336	feedback	like	would	4	4	2	2	1	1	I would like some feedback on the article mentioned above .															
39550529	task	like	would	8	8	6	6	5	5	Maybe someone else on Wikipedia would like the task .															
44714738	investigation	like	would	8	8	2	2	1	1	I would like checkuser used and any other investigation that could even partially clear my name .															
44714745	clarification	like	would	3	3	2	2	1	1	I would like clarification of that before going to CfD .															
13491122	feedback	like	would	13	13	12	12	11	11	I intend to nominate it for FA in due course and would like feedback .															
44417994	advice	like	would	29	29	28	28	27	27	I ' ve been searching on google for guides and have come across some good ones , but before I potentially mess up my computer , I would like advice from fellow Wikipedians .															
69213275	character	like	would	41	41	39	39	38	38	The problem was there were two other producers , there was a studio and there was Tim Robbins and they were all contributing , and Tim Robbins was being difficult because he said in the ' 90s nobody would like a character who has a woman fall in love with him because of a lie .															
13138814	input	like	would	37	37	17	17	16	16	I ' m a female editor that ' s been here since last October , and would like a review to check up on how I ' ve improved since my recent RfA , as well some input on how I can further improve so I may do better next time around .															
17999868	opinion	like	would	13	13	10	10	9	9	I believe a block is in order , but would like a second opinion .															
44714615	solution	like	would	4	4	2	2	1	1	I would like a solution that satisfies both the GFDL and the W3C accessibility guidelines .															
44413402	review	like	would	17	17	12	12	11	11	I ' ve listed this article for peer review because I would like a thorough and detailed review on how to vastly improve this article to able to have at least a GA article status .															
44714331	summary	like	would	7	7	2	2	1	1	I would like a nicer more descriptive summary when I click on the revert button .															
44714549	review	like	would	4	4	2	2	1	1	I would like a review of this article before I proceed with GA first , and then FA .															
8123357	someone	like	would	9	9	8	8	7	7	All in all , I guess I would like someone ' s input as to whether I may be `` ready for the big time , '' haha .															
44701713	answer	like	would	5	5	3	3	1	1	I would still like an answer to question 6 , I am really wondering what he wants to use the admin tools for .															
44488192	creation	like	would	5	5	3	3	1	1	I would also like the creation of a bot to deal with this .															
75107553	job	like	would	5	5	3	3	2	2	Yes I would like a job at the Internet , please .															
23791833	expansion	like	would	17	17	15	15	14	14	Even the W3C stuff , which I am generally familiar with anyway , I would like some expansion on his specific his involvement there .															
12731285	help	like	would	11	11	9	9	8	8	If you are interested in that , and would like some help , let me know .															
65481159	access	like	would	22	22	20	20	19	19	They are attractive to customers who make only occasional use of a vehicle , as well as others who would like occasional access to a vehicle of a different type than they use day-to-day .															
44410344	feedback	like	would	19	19	18	18	17	17	I ' ve listed this article for peer review because , after a recent expansion , I would like feedback on anything editors like , dislike , feel should be changed , etc .															
44716486	help	like	would	5	5	2	2	1	1	I would like some more help with learning to edit and vandel patrols .															
44488048	apology	like	would	5	5	3	3	1	1	I would also like an apology for the insults below .															
70818200	frame	like	would	7	7	4	4	3	3	Weak because I would like a wider frame on the right .